Agency Number, Agency Name
622,Millennium Challenge Corporation
328,National Aeronautics and Space Administration
537,National Archives and Records Administration
329,National Credit Union Administration
378,National Endowment for the Arts
501,National Endowment for the Humanities
666,National Geospatial-Intelligence Agency
497,National Labor Relations Board
643,National Reconnaissance Office
330,National Science Foundation
647,National Security Agency
661,National Transportation Safety Board
339,Nuclear Regulatory Commission
340,Office of Personnel Management
564,Office of the Director of National Intelligence
624,Overseas Private Investment Corporation
331,Peace Corps
374,Pension Benefit Guaranty Corporation
560,Postal Regulatory Commission
487,Railroad Retirement Board
383,Securities and Exchange Commission
341,Small Business Administration
332,Smithsonian Institution
333,Social Security Administration
334,Special Inspector General for Afghanistan Reconstruction
675,Statutory Members of CIGIE
662,Surface Transportation Board
335,Tennessee Valley Authority
485,Troubled Asset Relief Program
625,U.S. African Development Foundation
386,U.S. Agency for Global Media  (f/k/a Broadcasting Board of Governors)
336,U.S. Agency for International Development
387,"U.S. International Boundary and Water Commission, United States and Mexico, U.S. Section"
343,U.S. Postal Service
